Created as New Dataset,
nm,A
800.0,0.3653
797.0,0.3707
794.0,0.3714
791.0,0.3788
788.0,0.3810
785.0,0.3824
782.0,0.3906
779.0,0.3942
776.0,0.3984
773.0,0.4037
770.0,0.4095
767.0,0.4134
764.0,0.4186
761.0,0.4330
758.0,0.4346
755.0,0.4422
752.0,0.4473
749.0,0.4571
746.0,0.4630
743.0,0.4732
740.0,0.4796
737.0,0.4959
734.0,0.5063
731.0,0.5212
728.0,0.5371
725.0,0.5532
722.0,0.5714
719.0,0.5959
716.0,0.6201
713.0,0.6485
710.0,0.6747
707.0,0.7148
704.0,0.7570
701.0,0.8093
698.0,0.8711
695.0,0.9446
692.0,1.0308
689.0,1.1262
686.0,1.2357
683.0,1.3548
680.0,1.4834
677.0,1.6264
674.0,1.7657
671.0,1.9163
668.0,2.0652
665.0,2.1937
662.0,2.3379
659.0,2.4530
656.0,2.5536
653.0,2.6407
650.0,2.7220
647.0,2.7702
644.0,2.8453
641.0,2.8467
638.0,2.8398
635.0,2.8871
632.0,2.8790
629.0,2.8701
626.0,2.9079
623.0,2.8681
620.0,2.8519
617.0,2.8630
614.0,2.8338
611.0,2.8118
608.0,2.7966
605.0,2.7662
602.0,2.7281
599.0,2.7110
596.0,2.6900
593.0,2.6579
590.0,2.5899
587.0,2.5423
584.0,2.4878
581.0,2.4227
578.0,2.3563
575.0,2.3073
572.0,2.2537
569.0,2.1976
566.0,2.1342
563.0,2.0738
560.0,2.0190
557.0,1.9672
554.0,1.9057
551.0,1.8508
548.0,1.7919
545.0,1.7329
542.0,1.6812
539.0,1.6300
536.0,1.5778
533.0,1.5262
530.0,1.4805
527.0,1.4359
524.0,1.3920
521.0,1.3493
518.0,1.3108
515.0,1.2741
512.0,1.2387
509.0,1.2083
506.0,1.1766
503.0,1.1477
500.0,1.1185
497.0,1.0913
494.0,1.0677
491.0,1.0428
488.0,1.0194
485.0,0.9960
482.0,0.9723
479.0,0.9516
476.0,0.9325
473.0,0.9147
470.0,0.8987
467.0,0.8873
464.0,0.8767
461.0,0.8696
458.0,0.8688
455.0,0.8743
452.0,0.8877
449.0,0.9087
446.0,0.9416
443.0,0.9913
440.0,1.0560
437.0,1.1387
434.0,1.2380
431.0,1.3497
428.0,1.4643
425.0,1.5834
422.0,1.7004
419.0,1.8048
416.0,1.8909
413.0,1.9594
410.0,2.0058
407.0,2.0304
404.0,2.0455
401.0,2.0376
398.0,2.0109
395.0,1.9855
392.0,1.9365
389.0,1.8688
386.0,1.7942
383.0,1.7180
380.0,1.6633
377.0,1.5833
374.0,1.4768
371.0,1.3886
368.0,1.3078
365.0,1.2302
362.0,1.1605
359.0,1.0905
356.0,1.0309
353.0,0.9905
350.0,0.9581
347.0,0.9340
344.0,0.9168
341.0,0.9041
338.0,0.9085
335.0,0.9173
332.0,0.9268
329.0,0.9532
326.0,0.9814
323.0,1.0037
320.0,1.0269
317.0,1.0491
314.0,1.0643
311.0,1.0721
308.0,1.0708
305.0,1.0638
302.0,1.0542
299.0,1.0451
296.0,1.0423
293.0,1.0519
290.0,1.0773
287.0,1.1168
284.0,1.1605
281.0,1.1950
278.0,1.2145
275.0,1.2220
272.0,1.2234
269.0,1.2238
266.0,1.2261
263.0,1.2333
260.0,1.2490
257.0,1.2782
254.0,1.3232
251.0,1.3774
248.0,1.4272
