Batch	scan054
EV300 154404	100%T Baseline Correction
idtbt_ps_80 Cycle01	3/10/2021 11:08:13AM
nm	A
300.00	-0.01304901
301.00	-0.01183100
302.00	-0.01082684
303.00	-0.01132804
304.00	-0.01141348
305.00	-0.01078509
306.00	-0.01054374
307.00	-0.01044040
308.00	-0.01009988
309.00	-0.01035820
310.00	-0.01003073
311.00	-0.01030080
312.00	-0.01039233
313.00	-0.00988122
314.00	-0.00997481
315.00	-0.01010166
316.00	-0.00988598
317.00	-0.00952295
318.00	-0.00990441
319.00	-0.00918550
320.00	-0.00999589
321.00	-0.00959714
322.00	-0.00956016
323.00	-0.00976771
324.00	-0.00980166
325.00	-0.00922693
326.00	-0.00948515
327.00	-0.01001826
328.00	-0.00988750
329.00	-0.01028958
330.00	-0.00968674
331.00	-0.00973668
332.00	-0.00925583
333.00	-0.00993284
334.00	-0.00954599
335.00	-0.00976302
336.00	-0.00991186
337.00	-0.00984141
338.00	-0.00888954
339.00	-0.00978106
340.00	-0.00993527
341.00	-0.00954687
342.00	-0.01002866
343.00	-0.00946268
344.00	-0.00900376
345.00	-0.00962129
346.00	-0.01007418
347.00	-0.01018087
348.00	-0.00988919
349.00	-0.00808714
350.00	-0.00863568
351.00	-0.00961257
352.00	-0.00963519
353.00	-0.00907049
354.00	-0.00909265
355.00	-0.00884945
356.00	-0.00842973
357.00	-0.00831431
358.00	-0.00797157
359.00	-0.00859000
360.00	-0.00772019
361.00	-0.00800953
362.00	-0.00831132
363.00	-0.00709647
364.00	-0.00688248
365.00	-0.00755702
366.00	-0.00692524
367.00	-0.00619279
368.00	-0.00563546
369.00	-0.00651181
370.00	-0.00625762
371.00	-0.00566496
372.00	-0.00577081
373.00	-0.00514452
374.00	-0.00487842
375.00	-0.00464043
376.00	-0.00434306
377.00	-0.00403557
378.00	-0.00392122
379.00	-0.00384500
380.00	-0.00383344
381.00	-0.00333779
382.00	-0.00318069
383.00	-0.00296391
384.00	-0.00184552
385.00	-0.00236291
386.00	-0.00163091
387.00	-0.00195798
388.00	-0.00154075
389.00	-0.00143865
390.00	-0.00128522
391.00	-0.00107896
392.00	-0.00102617
393.00	-0.00091198
394.00	-0.00045757
395.00	-0.00052185
396.00	-0.00031420
397.00	-0.00008793
398.00	0.00026091
399.00	0.00003993
400.00	0.00030020
401.00	0.00055950
402.00	0.00061461
403.00	0.00052708
404.00	0.00073610
405.00	0.00084710
406.00	0.00088844
407.00	0.00083100
408.00	0.00065811
409.00	0.00110417
410.00	0.00071410
