Batch	scan054
411.00	0.00062141
412.00	0.00074582
413.00	0.00083266
414.00	0.00069295
415.00	0.00078164
416.00	0.00089514
417.00	0.00036914
418.00	0.00002518
419.00	-0.00017243
420.00	-0.00023678
421.00	-0.00006017
422.00	-0.00051824
423.00	-0.00063637
424.00	-0.00106068
425.00	-0.00047875
426.00	-0.00158228
427.00	-0.00163054
428.00	-0.00125238
429.00	-0.00170563
430.00	-0.00247405
431.00	-0.00180074
432.00	-0.00285549
433.00	-0.00353427
434.00	-0.00330438
435.00	-0.00338740
436.00	-0.00402008
437.00	-0.00278281
438.00	-0.00408363
439.00	-0.00431550
440.00	-0.00440640
441.00	-0.00431006
442.00	-0.00331648
443.00	-0.00564014
444.00	-0.00497104
445.00	-0.00505665
446.00	-0.00502227
447.00	-0.00588174
448.00	-0.00663540
449.00	-0.00437780
450.00	-0.00501896
451.00	-0.00631641
452.00	-0.00587259
453.00	-0.00541202
454.00	-0.00524562
455.00	-0.00601519
456.00	-0.00630080
457.00	-0.00559585
458.00	-0.00563226
459.00	-0.00592152
460.00	-0.00515990
461.00	-0.00551292
462.00	-0.00601362
463.00	-0.00541375
464.00	-0.00562663
465.00	-0.00502174
466.00	-0.00522460
467.00	-0.00490922
468.00	-0.00527721
469.00	-0.00471280
470.00	-0.00479028
471.00	-0.00503268
472.00	-0.00453430
473.00	-0.00449029
474.00	-0.00443506
475.00	-0.00442424
476.00	-0.00416302
477.00	-0.00433387
478.00	-0.00407355
479.00	-0.00388516
480.00	-0.00438557
481.00	-0.00324505
482.00	-0.00438780
483.00	-0.00369758
484.00	-0.00319615
485.00	-0.00327074
486.00	-0.00367172
487.00	-0.00328767
488.00	-0.00300876
489.00	-0.00341459
490.00	-0.00286942
491.00	-0.00251441
492.00	-0.00245359
493.00	-0.00254142
494.00	-0.00285898
495.00	-0.00243985
496.00	-0.00237972
497.00	-0.00157320
498.00	-0.00188346
499.00	-0.00180787
500.00	-0.00152473
501.00	-0.00147174
502.00	-0.00149148
503.00	-0.00101229
504.00	-0.00098284
505.00	-0.00073317
506.00	-0.00062459
507.00	-0.00057979
508.00	-0.00064060
509.00	-0.00049739
510.00	-0.00014656
511.00	-0.00018220
512.00	-0.00008488
513.00	0.00001282
514.00	0.00047739
515.00	0.00076770
516.00	0.00079568
517.00	0.00080036
518.00	0.00114476
519.00	0.00084790
520.00	0.00149184
521.00	0.00085540
522.00	0.00156702
523.00	0.00196238
524.00	0.00196342
525.00	0.00130263
526.00	0.00122570
527.00	0.00259841
528.00	0.00275307
529.00	0.00265988
530.00	0.00246070
531.00	0.00292559
532.00	0.00331392
533.00	0.00306409
534.00	0.00391880
535.00	0.00360008
536.00	0.00488066
537.00	0.00369571
538.00	0.00404386
539.00	0.00484944
540.00	0.00435383
541.00	0.00463475
542.00	0.00470371
543.00	0.00528507
544.00	0.00479891
545.00	0.00521960
546.00	0.00542035
547.00	0.00535668
548.00	0.00552749
549.00	0.00572499
550.00	0.00622388
551.00	0.00651675
552.00	0.00599716
553.00	0.00642127
554.00	0.00663960
555.00	0.00716969
556.00	0.00740595
557.00	0.00729751
558.00	0.00740282
559.00	0.00788913
560.00	0.00738759
561.00	0.00818508
562.00	0.00820304
563.00	0.00806226
564.00	0.00883036
565.00	0.00870786
566.00	0.00888024
567.00	0.00903248
568.00	0.00936987
569.00	0.00904476
570.00	0.00967482
571.00	0.00948828
572.00	0.01004119
573.00	0.01032758
574.00	0.01011247
575.00	0.01035231
576.00	0.01011671
577.00	0.01083515
578.00	0.01134545
579.00	0.01089620
580.00	0.01145373
581.00	0.01117377
582.00	0.01227447
583.00	0.01162335
584.00	0.01232185
585.00	0.01187036
586.00	0.01258778
587.00	0.01180280
588.00	0.01270206
589.00	0.01292023
590.00	0.01293682
591.00	0.01272328
592.00	0.01325894
593.00	0.01326400
594.00	0.01329505
595.00	0.01317085
596.00	0.01354739
597.00	0.01374458
598.00	0.01368914
599.00	0.01388328
600.00	0.01411967
601.00	0.01438386
602.00	0.01474284
603.00	0.01430184
604.00	0.01446966
605.00	0.01460763
606.00	0.01469794
607.00	0.01466884
608.00	0.01474973
609.00	0.01557492
610.00	0.01525505
611.00	0.01484507
612.00	0.01465681
613.00	0.01528419
614.00	0.01510672
615.00	0.01532963
616.00	0.01542218
617.00	0.01576673
618.00	0.01499870
619.00	0.01567198
620.00	0.01534082
621.00	0.01578828
622.00	0.01558944
623.00	0.01565604
624.00	0.01591619
625.00	0.01487257
626.00	0.01617783
627.00	0.01526360
628.00	0.01532270
629.00	0.01575083
630.00	0.01524009
631.00	0.01532648
632.00	0.01580886
633.00	0.01587443
634.00	0.01544017
635.00	0.01583680
636.00	0.01514617
637.00	0.01538263
638.00	0.01540440
639.00	0.01531669
640.00	0.01548316
641.00	0.01504507
642.00	0.01541456
643.00	0.01571723
644.00	0.01572688
645.00	0.01586924
646.00	0.01450659
647.00	0.01491406
648.00	0.01571173
649.00	0.01543348
650.00	0.01568002
651.00	0.01553704
652.00	0.01452872
653.00	0.01519044
654.00	0.01471782
655.00	0.01485834
656.00	0.01472495
657.00	0.01499932
658.00	0.01434259
659.00	0.01434444
660.00	0.01446127
661.00	0.01345282
662.00	0.01360298
663.00	0.01405494
664.00	0.01361908
665.00	0.01312464
666.00	0.01404078
667.00	0.01266873
668.00	0.01257779
669.00	0.01299233
670.00	0.01242955
671.00	0.01214071
672.00	0.01158612
673.00	0.01116064
674.00	0.01082173
675.00	0.01043193
676.00	0.01066760
677.00	0.01034122
678.00	0.00933787
679.00	0.00853833
680.00	0.00882846
681.00	0.00889248
682.00	0.00817066
683.00	0.00724020
684.00	0.00695294
685.00	0.00655798
686.00	0.00576028
687.00	0.00484645
688.00	0.00552165
689.00	0.00474524
690.00	0.00443071
691.00	0.00418381
692.00	0.00417214
693.00	0.00363590
694.00	0.00287723
695.00	0.00268812
696.00	0.00235505
697.00	0.00162817
698.00	0.00069508
699.00	0.00102166
700.00	0.00094312
701.00	0.00023230
702.00	0.00050506
703.00	-0.00058773
704.00	-0.00053502
705.00	-0.00046072
706.00	-0.00105047
707.00	-0.00083166
708.00	-0.00141738
709.00	-0.00133021
710.00	-0.00137104
711.00	-0.00178586
712.00	-0.00236733
713.00	-0.00281625
714.00	-0.00246611
715.00	-0.00303077
716.00	-0.00226852
717.00	-0.00324038
718.00	-0.00302758
719.00	-0.00298375
720.00	-0.00356138
721.00	-0.00345782
722.00	-0.00319569
723.00	-0.00334864
724.00	-0.00284101
725.00	-0.00338530
726.00	-0.00359901
727.00	-0.00296947
728.00	-0.00388575
729.00	-0.00359382
730.00	-0.00416424
731.00	-0.00353759
732.00	-0.00395185
733.00	-0.00452066
734.00	-0.00319260
735.00	-0.00396610
736.00	-0.00412525
737.00	-0.00463613
738.00	-0.00376351
739.00	-0.00416804
740.00	-0.00427128
741.00	-0.00360785
742.00	-0.00390171
743.00	-0.00357246
744.00	-0.00388841
745.00	-0.00410359
746.00	-0.00376729
747.00	-0.00377231
748.00	-0.00434545
749.00	-0.00465823
750.00	-0.00463174
751.00	-0.00416529
752.00	-0.00416535
753.00	-0.00415295
754.00	-0.00432830
755.00	-0.00419974
756.00	-0.00461846
757.00	-0.00431878
758.00	-0.00370583
759.00	-0.00413874
760.00	-0.00389751
761.00	-0.00394141
762.00	-0.00468471
763.00	-0.00355898
764.00	-0.00433174
765.00	-0.00431688
766.00	-0.00404417
767.00	-0.00493196
768.00	-0.00403935
769.00	-0.00343405
770.00	-0.00365825
771.00	-0.00370471
772.00	-0.00323463
773.00	-0.00371049
774.00	-0.00474731
775.00	-0.00433249
776.00	-0.00361475
777.00	-0.00401794
778.00	-0.00280170
779.00	-0.00440223
780.00	-0.00408987
781.00	-0.00466262
782.00	-0.00400393
783.00	-0.00402100
784.00	-0.00382881
785.00	-0.00392427
786.00	-0.00386260
787.00	-0.00272779
788.00	-0.00385975
789.00	-0.00398367
790.00	-0.00480162
791.00	-0.00423351
792.00	-0.00449334
793.00	-0.00450331
794.00	-0.00359750
795.00	-0.00379485
796.00	-0.00339010
797.00	-0.00422741
798.00	-0.00421238
799.00	-0.00326100
800.00	-0.00471044
801.00	-0.00357877
802.00	-0.00476999
803.00	-0.00271613
804.00	-0.00485722
805.00	-0.00453256
806.00	-0.00339181
807.00	-0.00392710
808.00	-0.00389416
809.00	-0.00376486
810.00	-0.00358287
811.00	-0.00373119
812.00	-0.00387002
813.00	-0.00339013
814.00	-0.00391252
815.00	-0.00359549
816.00	-0.00309355
817.00	-0.00344789
818.00	-0.00372130
819.00	-0.00355205
820.00	-0.00396669
821.00	-0.00365618
822.00	-0.00350676
823.00	-0.00333447
824.00	-0.00365608
825.00	-0.00318546
826.00	-0.00367511
827.00	-0.00367090
828.00	-0.00337566
829.00	-0.00334078
830.00	-0.00357463
831.00	-0.00458033
832.00	-0.00346544
833.00	-0.00336817
834.00	-0.00355737
835.00	-0.00361445
836.00	-0.00302590
837.00	-0.00386132
838.00	-0.00328064
839.00	-0.00325670
840.00	-0.00464977
841.00	-0.00391649
842.00	-0.00331908
843.00	-0.00280463
844.00	-0.00416529
845.00	-0.00362605
846.00	-0.00347964
847.00	-0.00390802
848.00	-0.00372600
849.00	-0.00267257
850.00	-0.00361422
851.00	-0.00276160
852.00	-0.00363092
853.00	-0.00339177
854.00	-0.00383344
855.00	-0.00356000
856.00	-0.00268261
857.00	-0.00400586
858.00	-0.00321884
859.00	-0.00163734
860.00	-0.00394516
861.00	-0.00293630
862.00	-0.00338293
863.00	-0.00306407
864.00	-0.00307598
865.00	-0.00246272
866.00	-0.00301709
867.00	-0.00429565
868.00	-0.00369857
869.00	-0.00252320
870.00	-0.00302380
871.00	-0.00330431
872.00	-0.00352888
873.00	-0.00374045
874.00	-0.00302258
875.00	-0.00363276
876.00	-0.00283021
877.00	-0.00330865
878.00	-0.00304242
879.00	-0.00352382
880.00	-0.00383971
881.00	-0.00313734
882.00	-0.00332424
883.00	-0.00315964
884.00	-0.00301041
885.00	-0.00276348
886.00	-0.00322341
887.00	-0.00281174
888.00	-0.00319957
889.00	-0.00329100
890.00	-0.00357219
891.00	-0.00267326
892.00	-0.00387827
893.00	-0.00336978
894.00	-0.00280358
895.00	-0.00282001
896.00	-0.00274580
897.00	-0.00309440
898.00	-0.00281816
899.00	-0.00345052
900.00	-0.00298615
