nm,baseline,100,90,80,70,60,50,40,30,20,0
252,2.723,2.826,2.771,2.927,2.868,2.924,2.86,2.856,2.78,2.845,2.881
253,2.652,2.75,2.688,2.845,2.795,2.853,2.772,2.787,2.697,2.746,2.801
254,2.583,2.682,2.628,2.764,2.726,2.757,2.682,2.732,2.645,2.675,2.733
255,2.51,2.618,2.563,2.691,2.67,2.687,2.616,2.672,2.566,2.603,2.643
256,2.425,2.524,2.47,2.599,2.584,2.586,2.513,2.579,2.486,2.51,2.556
257,2.347,2.449,2.395,2.522,2.508,2.506,2.437,2.518,2.413,2.424,2.471
258,2.259,2.356,2.299,2.415,2.408,2.412,2.337,2.421,2.31,2.332,2.376
259,2.179,2.274,2.227,2.333,2.337,2.328,2.257,2.339,2.235,2.252,2.305
260,2.122,2.222,2.168,2.276,2.279,2.274,2.205,2.283,2.184,2.201,2.247
261,2.079,2.177,2.127,2.233,2.238,2.229,2.158,2.241,2.145,2.157,2.207
262,2.021,2.122,2.075,2.177,2.18,2.17,2.104,2.189,2.092,2.098,2.151
263,1.958,2.059,2.006,2.107,2.117,2.106,2.04,2.122,2.025,2.039,2.081
264,1.886,1.981,1.94,2.024,2.04,2.027,1.961,2.052,1.952,1.963,1.999
265,1.808,1.892,1.848,1.948,1.955,1.943,1.879,1.963,1.867,1.873,1.911
266,1.725,1.808,1.767,1.853,1.869,1.846,1.793,1.869,1.782,1.788,1.823
267,1.65,1.734,1.7,1.785,1.794,1.78,1.726,1.796,1.71,1.715,1.742
268,1.59,1.673,1.634,1.716,1.728,1.712,1.656,1.73,1.644,1.649,1.681
269,1.523,1.604,1.563,1.642,1.661,1.638,1.593,1.663,1.577,1.585,1.612
270,1.456,1.537,1.5,1.578,1.59,1.571,1.522,1.593,1.509,1.519,1.543
271,1.388,1.467,1.438,1.512,1.519,1.502,1.456,1.529,1.447,1.453,1.466
272,1.334,1.406,1.373,1.448,1.46,1.44,1.399,1.466,1.39,1.393,1.399
273,1.284,1.357,1.329,1.4,1.412,1.392,1.35,1.412,1.34,1.343,1.344
274,1.229,1.297,1.274,1.343,1.354,1.333,1.294,1.354,1.286,1.288,1.285
275,1.168,1.237,1.212,1.276,1.29,1.268,1.231,1.29,1.217,1.222,1.216
276,1.111,1.173,1.154,1.219,1.227,1.212,1.176,1.231,1.16,1.166,1.159
277,1.059,1.122,1.104,1.162,1.172,1.155,1.118,1.174,1.106,1.109,1.102
278,1.004,1.067,1.051,1.109,1.121,1.098,1.062,1.121,1.053,1.057,1.048
279,0.957,1.019,1.001,1.056,1.069,1.048,1.017,1.069,1.009,1.012,0.998
280,0.905,0.966,0.951,1.001,1.02,0.996,0.971,1.016,0.952,0.958,0.94
281,0.858,0.914,0.895,0.95,0.965,0.942,0.912,0.964,0.904,0.902,0.893
282,0.813,0.867,0.858,0.91,0.921,0.899,0.871,0.915,0.858,0.864,0.847
283,0.774,0.83,0.816,0.868,0.877,0.863,0.832,0.875,0.82,0.824,0.806
284,0.734,0.784,0.775,0.823,0.834,0.812,0.793,0.83,0.782,0.783,0.763
285,0.696,0.744,0.736,0.785,0.796,0.775,0.754,0.794,0.741,0.742,0.725
286,0.659,0.706,0.7,0.745,0.756,0.735,0.718,0.755,0.705,0.707,0.686
287,0.624,0.671,0.665,0.708,0.717,0.697,0.679,0.715,0.667,0.67,0.648
288,0.591,0.638,0.633,0.673,0.687,0.665,0.646,0.68,0.637,0.638,0.616
289,0.557,0.601,0.596,0.637,0.646,0.627,0.612,0.644,0.602,0.604,0.578
290,0.524,0.568,0.562,0.603,0.615,0.595,0.578,0.612,0.567,0.569,0.545
291,0.497,0.537,0.536,0.576,0.586,0.565,0.55,0.58,0.54,0.542,0.519
292,0.47,0.51,0.509,0.546,0.556,0.536,0.524,0.552,0.512,0.515,0.49
