idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
372	0.02400192		372	-0.00577081	0.01855013	0.036222214			372	0.02197564	0.02304002
373	0.02520227		373	-0.00514452	0.01917642	0.037445149			373	0.02283173	0.02389611
374	0.02551742		374	-0.00487842	0.01944252	0.037964754			374	0.02288083	0.02394521
375	0.02705195		375	-0.00464043	0.01968051	0.038429469			375	0.02362684	0.02469122
376	0.02799815		376	-0.00434306	0.01997788	0.039010133			376	0.024623	0.02568738
377	0.0290867		377	-0.00403557	0.02028537	0.039610559			377	0.02476588	0.02583026
378	0.03028564		378	-0.00392122	0.02039972	0.039833846			378	0.02519525	0.02625963
379	0.02895729		379	-0.003845	0.02047594	0.039982678			379	0.02498644	0.02605082
380	0.02987734		380	-0.00383344	0.0204875	0.040005251			380	0.02459084	0.02565522
381	0.03066879		381	-0.00333779	0.02098315	0.04097309			381	0.02381822	0.0248826
382	0.03105556		382	-0.00318069	0.02114025	0.041279854			382	0.02422097	0.02528535
383	0.03227088		383	-0.00296391	0.02135703	0.041703153			383	0.02537843	0.02644281
384	0.03410435		384	-0.00184552	0.02247542	0.043886996			384	0.02647197	0.02753635
385	0.03413987		385	-0.00236291	0.02195803	0.042876706			385	0.02617981	0.02724419
386	0.03452791		386	-0.00163091	0.02269003	0.044306057			386	0.02621757	0.02728195
387	0.03481117		387	-0.00195798	0.02236296	0.043667399			387	0.02626308	0.02732746
388	0.03606328		388	-0.00154075	0.02278019	0.04448211			388	0.02582124	0.02688562
389	0.0361691		389	-0.00143865	0.02288229	0.044681477			389	0.02692248	0.02798686
390	0.03740252		390	-0.00128522	0.02303572	0.044981074			390	0.02744377	0.02850815
391	0.03855631		391	-0.00107896	0.02324198	0.045383831			391	0.02734982	0.0284142
392	0.03994582		392	-0.00102617	0.02329477	0.045486913			392	0.02702089	0.02808527
393	0.03936368		393	-0.00091198	0.02340896	0.045709888			393	0.02813614	0.02920052
394	0.04102404		394	-0.00045757	0.02386337	0.046597199			394	0.02680987	0.02787425
395	0.04163416		395	-0.00052185	0.02379909	0.046471681			395	0.02786201	0.02892639
396	0.04053805		396	-0.0003142	0.02400674	0.046877153			396	0.02775536	0.02881974
397	0.04206243		397	-0.00008793	0.02423301	0.047318982			397	0.0268646	0.02792898
398	0.04281487		398	0.00026091	0.02458185	0.04800015			398	0.0279208	0.02898518
399	0.04258087		399	0.00003993	0.02436087	0.04756865			399	0.02813325	0.02919763
400	0.04378208		400	0.0003002	0.02462114	0.048076871			400	0.0280289	0.02909328
401	0.04425881		401	0.0005595	0.02488044	0.048583197			401	0.02805756	0.02912194
402	0.04485009		402	0.00061461	0.02493555	0.048690809			402	0.0283303	0.02939468
403	0.04448833		403	0.00052708	0.02484802	0.048519892			403	0.02853821	0.02960259
404	0.04630761		404	0.0007361	0.02505704	0.048928038			404	0.02901042	0.0300748
405	0.04700756		405	0.0008471	0.02516804	0.049144784			405	0.02869156	0.02975594
406	0.04694756		406	0.00088844	0.02520938	0.049225507			406	0.02944847	0.03051285
407	0.04659914		407	0.000831	0.02515194	0.049113346			407	0.02885176	0.02991614
408	0.04710737		408	0.00065811	0.02497905	0.04877575			408	0.02858803	0.02965241
409	0.0476423		409	0.00110417	0.02542511	0.049646756			409	0.02910009	0.03016447
410	0.04744379		410	0.0007141	0.02503504	0.048885079			410	0.02884659	0.02991097
411	0.04739585		411	0.00062141	0.02494235	0.048704087			411	0.0292972	0.03036158
412	0.04802794		412	0.00074582	0.02506676	0.048947018			412	0.02879939	0.02986377
413	0.04806029		413	0.00083266	0.0251536	0.049116587			413	0.02785212	0.0289165
414	0.04875596		414	0.00069295	0.02501389	0.04884378			414	0.0282042	0.02926858
415	0.04824972		415	0.00078164	0.02510258	0.049016962			415	0.02870911	0.02977349
